"tps","dim","mean.long","mean.dist","sd.dist","mean.deg","sd.deg","diameter"
53691.6,4,0.391143958493546,0.664977511207737,0.275646672681615,3,0,1
144080.9,6,0.44227152866004,0.592214809489016,0.259284448010508,5,0,1
997802.7,8,0.334359370179786,0.536516886624043,0.245714582289021,7,0,1
2553321.95,10,0.276441461263459,0.505821417435565,0.238300170050618,9,0,1
6333008.75,12,0.254433129019342,0.50221280480473,0.22679052213608,11,0,1
11144462.35,14,0.220846417045265,0.482231210031764,0.226979526154073,13,0,1
27626902.9,16,0.193008158083677,0.485959244144397,0.228258208018354,15,0,1
38033441.5,18,0.186707893117332,0.480279731834242,0.222435546780579,17,0,1
53585549.55,20,0.171356902425178,0.471260734304718,0.219641113759238,19,0,1
33689.75,4,0.388165551697957,0.639866890172095,0.28969217750181,3,0,1
182227.2,6,0.396931520392389,0.525848949033983,0.252991494932371,5,0,1
1121671.3,8,0.320537569590585,0.489455591040108,0.233750475642242,7,0,1
3026408.5,10,0.271977172622742,0.471582407370207,0.228432782014345,9,0,1
6723653.7,12,0.23636423801207,0.439988919651496,0.218185523207829,11,0,1
15033094.15,14,0.210442489255792,0.420755068119051,0.20690470768216,13,0,1
27362230.95,16,0.192152766843216,0.410482848900434,0.208741889394109,15,0,1
56712101.25,18,0.173646792339588,0.40032139599338,0.207524318229404,17,0,1
82651284.35,20,0.166820726838175,0.406046065388641,0.205395920302197,19,0,1
60091.7,4,0.342745966100252,0.570463334313668,0.324314841683887,3,0,1
199161.05,6,0.364633993934812,0.493398456047543,0.264231681279298,5,0,1
1413272,8,0.273332130673049,0.430138167561105,0.252557674390879,7,0,1
3261722.75,10,0.214394451332921,0.39689879588164,0.239691053377886,9,0,1
10790829.7,12,0.186520664994834,0.374849079083163,0.233699601194394,11,0,1
19157325.7,14,0.163767664861011,0.361001305800914,0.221456226568529,13,0,1
30536887.05,16,0.146736556422264,0.358122350697764,0.217601918630608,15,0,1
50132335.45,18,0.130194794011288,0.347881926724774,0.21675763076006,17,0,1
82865246.5,20,0.115764779088932,0.325551673041589,0.207559720615469,19,0,1
35490.4,4,0.330092926237308,0.581820963230645,0.341138035954002,3,0,1
187406.35,6,0.377483864974704,0.488366372491102,0.308986873352234,5,0,1
1201398.65,8,0.28715386841446,0.431282031639084,0.279525764513459,7,0,1
3271946.4,10,0.231247917127449,0.396208430874837,0.261979223295742,9,0,1
10727263,12,0.197262188031624,0.37067582512226,0.267885367956632,11,0,1
23419247.35,14,0.168838947425545,0.36919758550538,0.251139703233513,13,0,1
48784462.75,16,0.153943547282916,0.35583954907924,0.252841792959706,15,0,1
59510990.55,18,0.140070600684891,0.363015191762336,0.242015611042114,17,0,1
138217.95,6,0.574981059281466,0.643394406807609,0.0972307390073032,5,0,1
1089718.65,8,0.611171957392071,286.218938003543,459.718695171307,5,0,2
3882376.35,10,0.608445323460857,444.826366436125,502.173457794783,5,0,2
8368542.4,12,0.70042465088792,545.793850076248,501.370671626155,5,0,2.25
18977697.35,14,0.641534811346126,615.655083804207,488.855582873148,5,0,2.95
29572106.1,16,0.667798514685973,666.908319835218,473.03789097694,5,0,3
57517451.4,18,0.625304022485981,706.082469843008,456.830441053983,5,0,3
71977978.6,20,0.662298568897299,737.034801397666,441.187497039808,5,0,3.05
1726822.9,10,0.631322837006999,111.740389332925,317.595887759288,8,0,2
7518533.7,12,0.605152967885369,273.227474300692,448.465915201938,8,0,2
16914105.05,14,0.5938803322592,385.029372563358,488.870501119624,8,0,2
29958996.95,16,0.604873172187363,467.037405117713,500.631194040092,8,0,2
58236128.4,18,0.636711886892768,529.742890191982,500.421035948883,8,0,2
93461552.65,20,0.668004147535423,579.255319082508,494.670356949249,8,0,2.1
36549.3,4,0.525269964792824,0.706199718524779,0.0724938577521968,3,0,1
187985.65,6,0.69610636694027,200.594126347653,413.731857944942,4,0.620803985413958,2
977451.4,8,0.733371885529778,429.010531030329,503.565384364026,4,1.15299462181279,2.25
2915097.1,10,0.678069678886941,555.88100538707,502.150938216708,4,1.15114423883664,3
5147701.15,12,0.742032587870078,636.644003299055,484.358190061332,4,1.41815504447861,3.1
8260914.15,14,0.758883673409485,692.546190431318,463.735754900612,4,1.34113134790092,3.45
16192990.55,16,0.681291471578935,733.523316768138,443.754436271302,4,1.33878632413239,3.7
33066010.6,18,0.721037975922429,764.877883329322,425.264456996453,4,1.3505467124719,4.1
41040941.7,20,0.743984842587134,789.636047838599,408.444316030311,4,1.39697139671333,4.15
677698.1,8,0.746507434109662,491.467063996076,506.098969892267,3.5625,0.79857264221847,3
4021382.3,10,0.714237964045892,525.920143965201,503.131620154591,4.27,0.798722872033785,3.1
8864568.55,12,0.664157567464281,530.638219236848,501.305926425769,5.16666666666667,0.937010532152106,3.2
36942093.6,16,0.667058247897876,522.433091892551,500.270570604057,7.16875,1.16192235072194,3
66214245.4,18,0.66513693101329,524.533489429757,500.231629274412,8.08888888888889,1.19572170506234,3
41699.05,4,0.619733729351719,200.621735150823,384.581825290994,2.4,0.288675134594813,1.85
770842.1,8,0.764572266882169,471.839957970964,503.133510839345,3.7,1.07071636847393,2.65
2263680.1,10,0.709618656469393,510.370017824447,499.53792902588,4.41,1.28967282116758,2.85
19201366.6,14,0.691618411652324,510.257682837979,499.422883253815,6.37142857142857,1.57169091853684,2.4
38256323.7,16,0.687582670843343,509.954740214873,498.957958157299,7.35625,1.87046239428766,2.65
74695294.65,18,0.644137120560885,515.378760209057,499.764352260971,8.24444444444444,1.97765290457284,2.45
109346622.05,20,0.690000948972018,516.152895450204,499.537961252374,9.2,2.00581802729877,2.35
